route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,0b0ac388-84f7-4b6b-a035-1bd698991d31,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,94aa1826-60ac-48fd-82d0-8e1be693f6b6
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,336981b7-420f-48e7-ba32-cd009c783de7,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,9cf7425c-4f00-4da1-8a9b-72d7193676fb
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,2f2e9aad-8527-4247-9086-188ace4acab4,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,d7f9e674-1b56-4f36-a1fa-a3bee1561207
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,67474d02-af94-48dc-905b-1dd7453bf087,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,94aa1826-60ac-48fd-82d0-8e1be693f6b6
3637,b1a8dbbf-67d1-4145-9527-97ff9bfcb683,e5f3fa1e-02bb-4c10-82de-b363f0eb0733,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,70b24928-80a6-4394-99cf-b671cef0bec1
3643,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,fc499cde-fb79-4d1b-afe5-a6ee2b4a2dec,76c45b1b-9a26-4fda-8f62-3b2b7b5ceb2d,Wake Forest,1,a866eddb-5d6d-46ec-b7de-e0fcce17638b
3642,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,cd7a6655-721b-426d-bd38-07084504d34f,f81eee6d-9e9f-4a85-8bb6-69212f04420a,Regional Transit Center,0,b00de676-3da5-4cc6-b31b-231243ded1bf
3635,0ebae99b-1ac5-466d-b0be-22f06dd11455,a422f6d3-7433-49a1-9119-e903fd0c60e1,af1a36b8-6260-43db-a91f-010e01560b10,Durham Station,1,c95da7f3-a520-4e0f-87e0-baef76015969
3646,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,196e2d21-4af9-461c-ae1f-b9a99cd596f6,37b8b62c-4324-4e3a-b60a-0096338072aa,Regional Transit Center,0,bb7d252a-6216-4baa-89db-a077421b62bb
3633,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,9d36a998-856b-417f-bbf7-67432dfc3895,5bf76334-d84b-4b1e-aebc-fe9cdc91a243,Chapel Hill and UNC Hospitals,0,7f9096d9-26e0-4893-86bd-1ef5ea3437f3
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,e9b332e2-ca08-49f4-af72-b182fbcbbd57,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,48cfae83-fcc5-476f-91cf-3ca35cc54693
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,583cca2a-7975-49af-a51b-62d659f132d5,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,9cf7425c-4f00-4da1-8a9b-72d7193676fb
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,900ad9b2-b683-437a-a910-32ea5a9c5872,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,4cfe4edc-9ef1-4601-8dfd-3e7ced6130b4
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,572bb162-86ee-4d68-8658-6d354102af8c,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,b07581fa-3ca0-4b5a-ad51-bf3e02ea0418
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,4496459d-eb92-44bc-9e19-9ec006dbc71c,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,2f1ce084-037d-44c6-ad77-f0ba8210bf22
3633,934e9677-5487-4e7d-b5a7-bdeed05384fa,11a65f0b-9a4e-4e90-9671-d710373ab011,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,49c658cf-24d4-4fb0-b721-2c3fa83b1a8e
3633,934e9677-5487-4e7d-b5a7-bdeed05384fa,e34709ff-c867-48a4-a027-2eae577eb3e4,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,99cd3c3f-ac13-4ac4-8db8-4e1a29714538
3633,934e9677-5487-4e7d-b5a7-bdeed05384fa,8e88cab8-8536-4438-b7de-91c0cb119b78,1fd4fbbb-a2c0-4360-a95b-a43633056643,Durham Station,1,00fc533e-7bea-4823-88e8-5819bbe940ca
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,75b1092c-d4f3-4906-be57-b90371f89708,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,1b0b973b-653b-4d38-97a3-011de1afea2f
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,21187571-dbf3-4d4c-a67d-d15f1e455ffe,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,48cfae83-fcc5-476f-91cf-3ca35cc54693
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,6a6bcc51-1eb8-49d0-a709-57378456ed97,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,9cf7425c-4f00-4da1-8a9b-72d7193676fb
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,51b951d1-04aa-4f2f-944f-3db125b3242a,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,7ac5c003-4d47-41dc-853b-6147d5702233
3633,0ebae99b-1ac5-466d-b0be-22f06dd11455,95cfd2ea-a955-4617-b14b-1f517588dc38,5bf76334-d84b-4b1e-aebc-fe9cdc91a243,Chapel Hill and UNC Hospitals,0,c95da7f3-a520-4e0f-87e0-baef76015969
3637,31bbbeae-4f85-44a0-81d9-3463aab0e9f5,215977e7-e2bc-47ff-9cf9-f367ec84ad51,47ff41c4-54e9-4192-9421-1493a1f39005,Chapel Hill and UNC Hospitals,0,1b0b973b-653b-4d38-97a3-011de1afea2f
3635,934e9677-5487-4e7d-b5a7-bdeed05384fa,b549f8c5-b4b1-4d33-ac3a-b5db17cad359,af1a36b8-6260-43db-a91f-010e01560b10,Durham Station,1,3a2c0e80-9854-4b45-ad6c-302e91eb4a54
