shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.983839,-78.95809,190,7928.03
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.981369,-78.95805,191,8202.52
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.916879,-79.04395,512,22610.56
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.91691,-79.044059,513,22620.96
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.916959,-79.04422,514,22636.44
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.917109,-79.044649,515,22678.49
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.919109,-79.038969,488,22069.81
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.919029,-79.03905,489,22081.31
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.918909,-79.03919,490,22099.65
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.917139,-79.044749,516,22688.09
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.91718,-79.0449,517,22702.42
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.91719,-79.04503,518,22714.17
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.91719,-79.04516,519,22725.87
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.91717,-79.045279,520,22736.81
39d20ab2-ba1d-4d2e-aeed-5c65e4f63942,35.697449,-78.833729,789,28986.27
39d20ab2-ba1d-4d2e-aeed-5c65e4f63942,35.69712,-78.833789,790,29023.23
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.9484,-78.994439,351,15746.13
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.037199,-79.086599,418,16575.43
ff46d97c-11d9-4061-bee3-0f47715c22e4,36.03725,-79.087079,419,16618.93
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.967989,-78.963549,212,9776.8
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.915529,-79.04963,528,23169.86
5bf76334-d84b-4b1e-aebc-fe9cdc91a243,35.91546,-79.0498,529,23186.97
1dfb48c7-d909-48d1-ac2f-a4b4a972f695,35.94157,-79.057429,590,24276.9
